title,0
Toy Story ,0
Jumanji ,1
Grumpier Old Men ,2
Father of the Bride Part II ,3
Sabrina ,4
"American President, The ",5
Nixon ,6
Casino ,7
Sense and Sensibility ,8
Get Shorty ,9
Copycat ,10
Leaving Las Vegas ,11
Othello ,12
Persuasion ,13
"City of Lost Children, The  ",14
Dangerous Minds ,15
Twelve Monkeys  ,16
Babe ,17
Dead Man Walking ,18
It Takes Two ,19
Clueless ,20
"Cry, the Beloved Country ",21
Richard III ,22
Restoration ,23
To Die For ,24
How to Make an American Quilt ,25
Seven  ,26
"Usual Suspects, The ",27
Mighty Aphrodite ,28
"Postman, The  ",29
Mr. Holland's Opus ,30
Mary Reilly ,31
In the Bleak Midwinter ,32
Bottle Rocket ,33
Happy Gilmore ,34
Muppet Treasure Island ,35
Braveheart ,36
Taxi Driver ,37
Anne Frank Remembered ,38
Boomerang ,39
Up Close and Personal ,40
"Basketball Diaries, The ",41
Apollo 13 ,42
Batman Forever ,43
Congo ,44
Crimson Tide ,45
Crumb ,46
Kids ,47
"Net, The ",48
"Umbrellas of Cherbourg, The  ",49
Before Sunrise ,50
Billy Madison ,51
Circle of Friends ,52
Clerks ,53
Don Juan DeMarco ,54
Dolores Claiborne ,55
Eat Drink Man Woman  ,56
Ed Wood ,57
Forget Paris ,58
Hoop Dreams ,59
Heavenly Creatures ,60
Houseguest ,61
Immortal Beloved ,62
I.Q. ,63
Just Cause ,64
Star Wars: Episode IV - A New Hope ,65
Little Women ,66
"Little Princess, A ",67
"Madness of King George, The ",68
Mary Shelley's Frankenstein  ,69
Miracle on 34th Street ,70
My Family ,71
Murder in the First ,72
Nell ,73
Natural Born Killers ,74
Once Were Warriors ,75
Léon: The Professional   ,76
Pulp Fiction ,77
Quiz Show ,78
Three Colors: Blue  ,79
Three Colors: White  ,80
Stargate ,81
"Santa Clause, The ",82
"Shawshank Redemption, The ",83
To Live  ,84
Star Trek: Generations ,85
What's Eating Gilbert Grape ,86
Virtuosity ,87
While You Were Sleeping ,88
Muriel's Wedding ,89
"Adventures of Priscilla, Queen of the Desert, The ",90
Clear and Present Danger ,91
"Client, The ",92
"Corrina, Corrina ",93
Forrest Gump ,94
Four Weddings and a Funeral ,95
It Could Happen to You ,96
"Wonderful, Horrible Life of Leni Riefenstahl, The  ",97
"Lion King, The ",98
"Paper, The ",99
Speed ,100
True Lies ,101
When a Man Loves a Woman ,102
Addams Family Values ,103
"Age of Innocence, The ",104
Airheads ,105
Black Beauty ,106
Blue Sky ,107
Carlito's Way ,108
Dave ,109
"Firm, The ",110
"Fugitive, The ",111
"Hudsucker Proxy, The ",112
In the Line of Fire ,113
In the Name of the Father ,114
What's Love Got to Do with It? ,115
Jurassic Park ,116
M. Butterfly ,117
Much Ado About Nothing ,118
Mrs. Doubtfire ,119
Philadelphia ,120
Radioland Murders ,121
"Remains of the Day, The ",122
Renaissance Man ,123
Romper Stomper ,124
Rudy ,125
Schindler's List ,126
Searching for Bobby Fischer ,127
"Secret Garden, The ",128
Shadowlands ,129
Short Cuts ,130
Six Degrees of Separation ,131
Sleepless in Seattle ,132
Sliver ,133
Blade Runner ,134
So I Married an Axe Murderer ,135
"Nightmare Before Christmas, The ",136
"Three Musketeers, The ",137
"War Room, The ",138
Welcome to the Dollhouse ,139
Home Alone ,140
Ghost ,141
Aladdin ,142
Terminator 2: Judgment Day ,143
Dances with Wolves ,144
Batman ,145
"Silence of the Lambs, The ",146
Snow White and the Seven Dwarfs ,147
Beauty and the Beast ,148
Pinocchio ,149
Pretty Woman ,150
Fargo ,151
