,movieId,tmdbId,title
0,1,862.0,Toy Story 
1,2,8844.0,Jumanji 
2,3,15602.0,Grumpier Old Men 
3,5,11862.0,Father of the Bride Part II 
4,7,11860.0,Sabrina 
5,10,710.0,GoldenEye
6,11,9087.0,"American President, The "
7,14,10858.0,Nixon 
8,15,1408.0,Cutthroat Island
9,16,524.0,Casino 
10,17,4584.0,Sense and Sensibility 
11,18,5.0,Four Rooms
12,19,9273.0,Ace Ventura: When Nature Calls
13,20,11517.0,Money Train
14,21,8012.0,Get Shorty 
15,22,1710.0,Copycat 
16,23,9691.0,Assassins
17,25,451.0,Leaving Las Vegas 
18,26,16420.0,Othello 
19,28,17015.0,Persuasion 
20,29,902.0,"City of Lost Children, The  "
21,31,9909.0,Dangerous Minds 
22,32,63.0,Twelve Monkeys  
23,34,9598.0,Babe 
24,36,687.0,Dead Man Walking 
25,38,33689.0,It Takes Two 
26,39,9603.0,Clueless 
27,40,34615.0,"Cry, the Beloved Country "
28,41,31174.0,Richard III 
29,43,35196.0,Restoration 
30,44,9312.0,Mortal Kombat
31,45,577.0,To Die For 
32,46,11861.0,How to Make an American Quilt 
33,47,807.0,Seven  
34,48,10530.0,Pocahontas
35,50,629.0,"Usual Suspects, The "
36,52,11448.0,Mighty Aphrodite 
37,57,9089.0,Home for the Holidays
38,58,11010.0,"Postman, The  "
39,60,11359.0,The Indian in the Cupboard
40,61,17182.0,Eye for an Eye
41,62,2054.0,Mr. Holland's Opus 
42,69,10634.0,Friday
43,70,755.0,From Dusk Till Dawn
44,79,9623.0,The Juror
45,81,400.0,Things to Do in Denver When You're Dead
46,86,10534.0,White Squall
47,92,9095.0,Mary Reilly 
48,93,12158.0,Vampire in Brooklyn
49,95,9208.0,Broken Arrow
50,96,40154.0,In the Bleak Midwinter 
51,100,11062.0,City Hall
52,101,13685.0,Bottle Rocket 
53,104,9614.0,Happy Gilmore 
54,105,688.0,The Bridges of Madison County
55,107,10874.0,Muppet Treasure Island 
56,110,197.0,Braveheart 
57,111,103.0,Taxi Driver 
58,112,33542.0,Rumble in the Bronx
59,116,51352.0,Anne Frank Remembered 
60,122,11066.0,Boomerang 
61,125,2074.0,Flirting with Disaster
62,132,11863.0,Jade
63,140,9302.0,Up Close and Personal 
64,144,16388.0,The Brothers McMullen
65,145,9737.0,Bad Boys
66,147,10474.0,"Basketball Diaries, The "
67,150,568.0,Apollo 13 
68,151,11780.0,Rob Roy
69,153,414.0,Batman Forever 
70,158,8839.0,Casper
71,160,10329.0,Congo 
72,161,8963.0,Crimson Tide 
73,162,26564.0,Crumb 
74,163,8068.0,Desperado
75,165,1572.0,Die Hard: With a Vengeance
76,168,6520.0,First Knight
77,170,10428.0,Hackers
